[2013-10-17 08:26:58,243][INFO] [sistema] [/sad/module/delete/3.3ba3a8e92cb28f90132cbbb4ff0f08ef/][admin][127.0.0.1] Módulo Django Backend Manager ha sido eliminado correctamente. 
[2013-10-17 09:01:39,061][ERROR] [sistema] [/space/solution/add/][admin][127.0.0.1] Solución Sol2 ya existe. 
[2013-10-17 09:02:17,861][ERROR] [sistema] [/space/solution/edit/3.387b0f7ba720d8287ce9249fd3734df6/][admin][127.0.0.1] Solución Sol 2c ya existe. 
[2013-10-17 09:02:35,838][INFO] [sistema] [/space/solution/delete/3.ad426a59bf926fa49f273a1cc49bd05a/][admin][127.0.0.1] Solución Sol-2c ha sido eliminado correctamente. 
[2013-10-17 09:45:50,555][INFO] [sistema] [/sad/menu/add/][admin][127.0.0.1] Menu xxx ha sido registrado correctamente. 
[2013-10-17 09:56:38,348][ERROR] [sistema] [/sad/menu/edit/7.21a09c83e78f6a7623c5ec97460b55a9/][admin][127.0.0.1] 'Menu' object has no attribute 'name' 
[2013-10-17 10:05:18,694][INFO] [sistema] [/sad/menu/delete/8.968bb7dd4d62eeb613bd8c02325f3864/][admin][127.0.0.1] Menu xxx ha sido eliminado correctamente. 
[2013-10-17 10:16:55,868][WARNING] [sistema] [/sad/module/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/index/ 
[2013-10-17 10:17:11,201][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 10:17:13,285][WARNING] [sistema] [/sad/resource/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/resource/index/ 
[2013-10-17 10:17:14,664][WARNING] [sistema] [/sad/group/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/index/ 
[2013-10-17 10:17:53,848][WARNING] [sistema] [/sad/module/plans_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/plans_edit/ 
[2013-10-17 10:17:55,546][WARNING] [sistema] [/space/solution/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/solution/index/ 
[2013-10-17 10:17:56,407][WARNING] [sistema] [/sad/module/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/index/ 
[2013-10-17 10:18:24,157][WARNING] [sistema] [/sad/group/permissions_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/permissions_edit/ 
[2013-10-17 10:18:27,463][WARNING] [sistema] [/sad/group/permissions_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/permissions_edit/ 
[2013-10-17 10:18:34,723][WARNING] [sistema] [/sad/module/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/index/ 
[2013-10-17 10:18:35,913][WARNING] [sistema] [/space/solution/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/solution/index/ 
[2013-10-17 10:18:36,440][WARNING] [sistema] [/sad/module/plans_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/plans_edit/ 
[2013-10-17 10:18:36,992][WARNING] [sistema] [/sad/menu/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/menu/index/ 
[2013-10-17 10:19:19,743][WARNING] [sistema] [/space/solution/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /space/solution/index/ 
[2013-10-17 10:19:20,750][WARNING] [sistema] [/sad/module/index/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/module/index/ 
[2013-10-17 10:19:21,405][WARNING] [sistema] [/sad/group/permissions_edit/][asullom][127.0.0.1] Tu no posees permisos para acceder a /sad/group/permissions_edit/ 
