[2013-10-23 04:33:16,542][INFO] [sistema] [/space/headquart/delete/19.bf0deefb70d569b7e3b9767c5b186069/][admin][127.0.0.1] Sede sed2p ha sido eliminado correctamente. 
[2013-10-23 04:33:25,000][INFO] [sistema] [/space/headquart/delete/18.2556c3001dad8865e1e992a430a262e9/][admin][127.0.0.1] Sede sedx ha sido eliminado correctamente. 
[2013-10-23 04:33:28,822][INFO] [sistema] [/space/headquart/delete/17.8ccdab9ba2ce4d8796d1d4ffb44f3c79/][admin][127.0.0.1] Sede sed ha sido eliminado correctamente. 
[2013-10-23 04:33:32,003][INFO] [sistema] [/space/headquart/delete/16.56e9a86d253ce4d2a7829655e2a59e6f/][admin][127.0.0.1] Sede Sede 5 ha sido eliminado correctamente. 
[2013-10-23 04:33:35,243][INFO] [sistema] [/space/headquart/delete/15.5e3e7c8da2fa47aaaa9593fed9eb43f3/][admin][127.0.0.1] Sede mimo ha sido eliminado correctamente. 
[2013-10-23 04:34:13,428][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:34:20,336][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:34:24,457][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:35:52,085][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:00,489][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:01,479][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:03,742][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:04,563][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:05,332][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:06,183][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:06,713][ERROR] [sistema] [/space/enterprise/edit_current/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:36:07,302][ERROR] [sistema] [/space/headquart/index/][admin][127.0.0.1] Empresa no seleccionada o no se encuentra en la base de datos. 
[2013-10-23 04:37:14,132][ERROR] [sistema] [/space/headquart/edit/14.6109cf5ff1d9658f2a9dfbb5d6de39c7/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 04:37:31,437][ERROR] [sistema] [/space/headquart/edit/14.6109cf5ff1d9658f2a9dfbb5d6de39c7/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 04:38:26,933][ERROR] [sistema] [/space/headquart/edit/14.6109cf5ff1d9658f2a9dfbb5d6de39c7/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 04:38:35,993][ERROR] [sistema] [/space/headquart/edit/2.b1185543662868fca8615b2fadc3f952/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 04:38:37,566][ERROR] [sistema] [/space/headquart/edit/2.b1185543662868fca8615b2fadc3f952/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 04:38:38,542][ERROR] [sistema] [/space/headquart/edit/2.b1185543662868fca8615b2fadc3f952/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 04:38:39,345][ERROR] [sistema] [/space/headquart/edit/2.b1185543662868fca8615b2fadc3f952/][admin][127.0.0.1] Sede no se encuentra en la base de datos. 
[2013-10-23 04:51:40,684][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] Cannot resolve keyword 'association_id' into field. Choices are: headquart, id, is_active, logo, modified_in, name, registered_at, solution, tax_id, type_e, userprofileenterprise 
[2013-10-23 04:52:34,367][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] Cannot resolve keyword 'association_id' into field. Choices are: headquart, id, is_active, logo, modified_in, name, registered_at, solution, tax_id, type_e, userprofileenterprise 
[2013-10-23 04:53:01,585][ERROR] [sistema] [/space/enterprise/index/][admin][127.0.0.1] Cannot resolve keyword 'association_id' into field. Choices are: headquart, id, is_active, logo, modified_in, name, registered_at, solution, tax_id, type_e, userprofileenterprise 
