[2013-10-25 06:05:46,072][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] list indices must be integers, not str 
[2013-10-25 06:09:01,588][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] 'dict' object has no attribute 'append' 
[2013-10-25 06:14:23,096][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] argument of type 'Group' is not iterable 
[2013-10-25 06:17:31,072][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] 'Group' object has no attribute 'items' 
[2013-10-25 09:53:23,065][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] "<User: >" needs to have a value for field "user" before this many-to-many relationship can be used. 
[2013-10-25 09:55:30,698][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] "<User: >" needs to have a value for field "user" before this many-to-many relationship can be used. 
[2013-10-25 09:56:42,608][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] "<User: milva>" needs to have a value for field "user" before this many-to-many relationship can be used. 
[2013-10-25 09:57:27,887][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] 'User' object has no attribute 'title' 
[2013-10-25 11:35:19,890][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] global name 'list1' is not defined 
[2013-10-25 12:09:38,407][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] global name 'user' is not defined 
[2013-10-25 12:11:51,822][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] El usuario milva ya existe  
[2013-10-25 12:12:50,506][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario milva2 ha sido registrado correctamente. 
[2013-10-25 12:18:27,344][ERROR] [sistema] [/account/login/][AnonymousUser][127.0.0.1] Contaseña para milva2 no válido, o el usuario no existe o no está activo.  
[2013-10-25 12:18:35,875][ERROR] [sistema] [/account/login/][AnonymousUser][127.0.0.1] Contaseña para milva2 no válido, o el usuario no existe o no está activo.  
[2013-10-25 12:19:56,648][WARNING] [sistema] [/space/enterprise/edit_current/][milva2][127.0.0.1] Tu no posees permisos para acceder a /space/enterprise/edit_current/ 
[2013-10-25 12:19:57,721][WARNING] [sistema] [/space/headquart/index/][milva2][127.0.0.1] Tu no posees permisos para acceder a /space/headquart/index/ 
[2013-10-25 12:28:31,309][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario juan ha sido registrado correctamente. 
[2013-10-25 12:33:47,756][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario juan2 ha sido registrado correctamente. 
[2013-10-25 17:09:24,992][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] La persona   ya existe  
[2013-10-25 17:11:12,171][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] El usuario juan3 ya existe  
[2013-10-25 17:11:26,778][ERROR] [sistema] [/sad/user/edit/13.6d64de3da1641208d7a1fb84dc10942f/][admin][127.0.0.1] Usuario no se encuentra en la base de datos. 
[2013-10-25 17:11:31,171][ERROR] [sistema] [/sad/user/edit/13.6d64de3da1641208d7a1fb84dc10942f/][admin][127.0.0.1] Usuario no se encuentra en la base de datos. 
[2013-10-25 17:14:01,917][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] La persona   ya existe  
[2013-10-25 17:15:47,183][ERROR] [sistema] [/sad/user/add/][admin][127.0.0.1] La persona   ya existe  
[2013-10-25 17:18:11,206][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario juan4 ha sido registrado correctamente. 
