[2013-10-29 10:17:43,193][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /miapp2/*/ ya existe. 
[2013-10-29 10:17:48,138][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /miapp2/*/ ya existe. 
[2013-10-29 10:20:04,240][ERROR] [sistema] [/sad/resource/edit/136.2bba361d6e0abbbfbce93099e5769ac2/][admin][127.0.0.1] Recurso /miapp/*/ ya existe. 
[2013-10-29 10:20:19,293][ERROR] [sistema] [/sad/resource/edit/136.2bba361d6e0abbbfbce93099e5769ac2/][admin][127.0.0.1] columns content_type_id, codename are not unique 
[2013-10-29 10:20:22,739][ERROR] [sistema] [/sad/resource/edit/136.2bba361d6e0abbbfbce93099e5769ac2/][admin][127.0.0.1] columns content_type_id, codename are not unique 
[2013-10-29 10:20:45,588][ERROR] [sistema] [/sad/resource/edit/136.2bba361d6e0abbbfbce93099e5769ac2/][admin][127.0.0.1] columns content_type_id, codename are not unique 
[2013-10-29 10:21:14,431][ERROR] [sistema] [/sad/resource/edit/136.2bba361d6e0abbbfbce93099e5769ac2/][admin][127.0.0.1] columns content_type_id, codename are not unique 
[2013-10-29 10:22:29,020][ERROR] [sistema] [/sad/resource/edit/136.2bba361d6e0abbbfbce93099e5769ac2/][admin][127.0.0.1] Recurso /miapp/*/ ya existe. 
[2013-10-29 10:23:18,368][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /miapp/*/ ya existe. 
[2013-10-29 10:37:48,181][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /home/ ya existe. 
[2013-10-29 10:38:16,982][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /home/home/ ya existe. 
[2013-10-29 10:38:34,282][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /home/ ya existe. 
[2013-10-29 10:38:42,223][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /home/ ya existe. 
[2013-10-29 10:43:19,309][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Complete controlador para la acción inicio. 
[2013-10-29 10:45:12,861][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Complete controlador para la acción inicio. 
[2013-10-29 10:45:29,426][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Complete controlador para la acción inicio. 
[2013-10-29 10:45:30,996][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Complete controlador para la acción inicio. 
[2013-10-29 10:45:39,736][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /home/ ya existe. 
[2013-10-29 10:45:41,819][ERROR] [sistema] [/sad/resource/add/][admin][127.0.0.1] Recurso /home/ ya existe. 
[2013-10-29 10:48:05,433][ERROR] [sistema] [/sad/resource/edit/139.f3c9dad0c4e41df522ce0c42c6dbbac5/][admin][127.0.0.1] Recurso /home/ ya existe. 
[2013-10-29 10:48:11,595][ERROR] [sistema] [/sad/resource/edit/139.f3c9dad0c4e41df522ce0c42c6dbbac5/][admin][127.0.0.1] Complete controlador para la acción sad. 
[2013-10-29 13:19:30,042][ERROR] [sistema] [/account/login/][AnonymousUser][127.0.0.1] Contaseña para asullom no válido, o el usuario no existe o no está activo.  
[2013-10-29 13:19:39,059][INFO] [sistema] [/sad/user/state/reactivar/2.1618760ff9193f67fa4fd42ae22bddd3/][admin][127.0.0.1] Usuario asullom ha sido reactivado correctamente. 
[2013-10-29 13:19:43,486][ERROR] [sistema] [/sad/user/state/reactivar/2.1618760ff9193f67fa4fd42ae22bddd3/][admin][127.0.0.1] El usuario ya se encuentra activo. 
[2013-10-29 13:21:43,401][WARNING] [sistema] [/home/choice_headquart/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/choice_headquart/ 
[2013-10-29 18:35:26,186][WARNING] [sistema] [/home/choice_headquart/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/choice_headquart/ 
[2013-10-29 18:35:29,323][WARNING] [sistema] [/home/choice_headquart/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/choice_headquart/ 
[2013-10-29 18:35:30,624][WARNING] [sistema] [/home/choice_headquart/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/choice_headquart/ 
[2013-10-29 18:36:03,437][WARNING] [sistema] [/home/][asullom][127.0.0.1] Tu no posees permisos para acceder a / 
[2013-10-29 18:36:08,721][WARNING] [sistema] [/home/][asullom][127.0.0.1] Tu no posees permisos para acceder a / 
[2013-10-29 18:37:19,184][WARNING] [sistema] [/home/][asullom][127.0.0.1] Tu no posees permisos para acceder a / 
[2013-10-29 19:00:11,884][WARNING] [sistema] [/home/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/ 
[2013-10-29 19:00:16,131][WARNING] [sistema] [/home/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/ 
[2013-10-29 19:01:00,667][WARNING] [sistema] [/home/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/ 
[2013-10-29 19:01:54,898][WARNING] [sistema] [/home/choice_headquart/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/choice_headquart/ 
[2013-10-29 19:02:28,549][WARNING] [sistema] [/home/choice_headquart/][asullom][127.0.0.1] Tu no posees permisos para acceder a /home/choice_headquart/ 
