[2013-11-24 07:24:53,025][INFO] [sistema] [/sad/user/edit/5.0613bb4bd617b0a0696090a42f0ea2fb/][admin][127.0.0.1] Usuario sullon ha sido actualizado correctamente. 
[2013-11-24 07:25:01,431][ERROR] [sistema] [/sad/user/edit/4.f57e8f97681a744d77523f7a49c4bfbd/][admin][127.0.0.1] La persona con D.N.I.: ya existe  
[2013-11-24 07:25:06,306][INFO] [sistema] [/sad/user/edit/4.f57e8f97681a744d77523f7a49c4bfbd/][admin][127.0.0.1] Usuario jarib ha sido actualizado correctamente. 
[2013-11-24 07:25:09,933][INFO] [sistema] [/sad/user/edit/3.c43a707369f770de27e8437819b720fa/][admin][127.0.0.1] Usuario abel ha sido actualizado correctamente. 
[2013-11-24 07:25:12,963][INFO] [sistema] [/sad/user/edit/1.f9f5b643c328bb6bb70b626cb57532b5/][admin][127.0.0.1] Usuario admin ha sido actualizado correctamente. 
[2013-11-24 07:25:20,135][INFO] [sistema] [/sad/user/edit/2.304d961474f40305409c97388244e7b6/][admin][127.0.0.1] Usuario asullom ha sido actualizado correctamente. 
[2013-11-24 07:34:13,105][ERROR] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] global name 'normalize' is not defined 
[2013-11-24 07:34:39,591][INFO] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] Employee 0002 ha sido registrado correctamente. 
[2013-11-24 09:32:37,286][INFO] [sistema] [/rrhh/employee/edit/1.bf74b0366ab5f2bb7f6be02097db3b9e/][admin][127.0.0.1] Employee 0002 ha sido actualizado correctamente. 
[2013-11-24 09:32:49,145][INFO] [sistema] [/rrhh/employee/edit/1.bf74b0366ab5f2bb7f6be02097db3b9e/][admin][127.0.0.1] Employee 00022 ha sido actualizado correctamente. 
[2013-11-24 09:33:04,700][INFO] [sistema] [/rrhh/employee/edit/1.bf74b0366ab5f2bb7f6be02097db3b9e/][admin][127.0.0.1] Employee 0002 ha sido actualizado correctamente. 
[2013-11-24 09:34:00,812][INFO] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] Employee 213 ha sido registrado correctamente. 
[2013-11-24 09:35:24,145][INFO] [sistema] [/rrhh/employee/delete/2.5459eff5bca79f190a8399ee2139b5f5/][admin][127.0.0.1] Employee 213 ha sido eliminado correctamente. 
[2013-11-24 09:39:04,348][INFO] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] Employee 3 ha sido registrado correctamente. 
[2013-11-24 10:05:19,720][ERROR] [sistema] [/rrhh/employee/edit/0/][admin][127.0.0.1] Acceso denegado. La llave de seguridad es incorrecta. 
[2013-11-24 10:06:01,750][ERROR] [sistema] [/rrhh/employee/edit/0/][admin][127.0.0.1] Acceso denegado. La llave de seguridad es incorrecta. 
[2013-11-24 10:06:04,746][ERROR] [sistema] [/rrhh/employee/edit/"+ids[i]+"/][admin][127.0.0.1] Acceso denegado. La llave de seguridad es incorrecta. 
[2013-11-24 10:07:10,397][ERROR] [sistema] [/rrhh/employee/edit/"+ids[i]+".51a009393c9317b791d19bc7c3b2c07e/][admin][127.0.0.1] Usuario no se encuentra en la base de datos. invalid literal for int() with base 10: '"+ids[i]+"' 
[2013-11-24 10:08:24,145][ERROR] [sistema] [/rrhh/employee/edit/"+ids[i]+".51a009393c9317b791d19bc7c3b2c07e/][admin][127.0.0.1] Employee no se encuentra en la base de datos. invalid literal for int() with base 10: '"+ids[i]+"' 
[2013-11-24 10:11:13,160][ERROR] [sistema] [/rrhh/employee/edit/+ids[i]+.ce2b13fd03738a1fd3544ccbd868e790/][admin][127.0.0.1] Employee no se encuentra en la base de datos. invalid literal for int() with base 10: '+ids[i]+' 
[2013-11-24 10:13:09,469][ERROR] [sistema] [/rrhh/employee/edit/+ids[i]+.ce2b13fd03738a1fd3544ccbd868e790/][admin][127.0.0.1] Employee no se encuentra en la base de datos. invalid literal for int() with base 10: '+ids[i]+' 
