[2014-03-04 00:04:51,368][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación Asociación Inixxx2 ya existe. 
[2014-03-04 00:05:03,010][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación Asociación Inixxx33 ya existe. 
[2014-03-04 00:06:30,937][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación Asociación Ini2 ya existe. 
[2014-03-04 00:08:50,927][ERROR] [sistema] [/space/association/edit_current/][admin][127.0.0.1] Asociación Asociación Ini33333 ya existe. 
[2014-03-04 00:17:12,584][INFO] [sistema] [/sad/user/edit/2.417fc2eacd78a7e8fe2643631b41ebf4/][admin][127.0.0.1] Usuario jarib ha sido actualizado correctamente. 
[2014-03-04 00:22:42,131][INFO] [sistema] [/sad/user/edit/2.417fc2eacd78a7e8fe2643631b41ebf4/][admin][127.0.0.1] Usuario jarib ha sido actualizado correctamente. 
[2014-03-04 00:23:38,858][INFO] [sistema] [/rrhh/employee/add/][admin][127.0.0.1] Employee 213 ha sido registrado correctamente. 
[2014-03-04 16:39:07,286][ERROR] [sistema] [/maestros/producto/add/][admin][127.0.0.1] Your database backend doesn't behave properly when autocommit is off. Turn it on before using 'atomic'. 
[2014-03-04 16:41:22,236][ERROR] [sistema] [/maestros/producto/add/][admin][127.0.0.1] Your database backend doesn't behave properly when autocommit is off. Turn it on before using 'atomic'. 
[2014-03-04 16:41:31,763][INFO] [sistema] [/maestros/producto/add/][admin][127.0.0.1] Producto 12 ha sido registrado correctamente. 
[2014-03-04 16:41:50,417][ERROR] [sistema] [/maestros/producto/edit/1.72c1040244feeede13c8a49a33db7dfa/][admin][127.0.0.1] Your database backend doesn't behave properly when autocommit is off. Turn it on before using 'atomic'. 
[2014-03-04 16:41:53,963][INFO] [sistema] [/maestros/producto/edit/1.72c1040244feeede13c8a49a33db7dfa/][admin][127.0.0.1] Producto 12 ha sido actualizado correctamente. 
[2014-03-04 16:43:41,010][ERROR] [sistema] [/maestros/producto/edit/1.72c1040244feeede13c8a49a33db7dfa/][admin][127.0.0.1] global name 'precio_venta' is not defined 
[2014-03-04 16:43:53,661][INFO] [sistema] [/maestros/producto/edit/1.72c1040244feeede13c8a49a33db7dfa/][admin][127.0.0.1] Producto 12 ha sido actualizado correctamente. 
[2014-03-04 17:15:51,737][INFO] [sistema] [/maestros/producto/edit/1.72c1040244feeede13c8a49a33db7dfa/][admin][127.0.0.1] Producto 12 ha sido actualizado correctamente. 
